"nameEn","nameKo","stars","location","descKo","descEn","addr","contact"
"Your-Mind","유어마인드","★","서울, 한국 · Seoul, Korea","유어마인드는 국내 최대 독립출판 축제인 아트북페어 '언리미티드 에디션'을 매년 주최하는 곳으로, 한국 독립출판 신(scene)의 사실상 발원지로 꼽힌다. 2009년 서울에서 문을 연 이래 국내 소형 출판사와 개인 작가들의 독립출판물과 아트북을 전문으로 취급해왔다. 서가는 장르가 아니라 발행 연도와 판형을 기준으로 정리되어 있어, 처음 방문한 사람은 분류 체계를 파악하는 데 시간이 걸린다. 2026년 4월에는 오래 있던 자리를 떠나 연희동으로 이전했다. 새 공간은 이전보다 넓지만, 서가 배치 방식은 그대로 옮겨왔다. 독립출판물의 유통 주기가 짧다는 점을 고려하면, 방문 전 재고 확인을 권한다.","Your-Mind is widely treated as the origin of Korea's independent publishing scene, and still hosts Unlimited Edition, the country's largest art-book fair. Since opening in Seoul in 2009 it has specialised in small-press and artists' books. The shelves are ordered by year and format rather than genre, which slows first-time visitors. In April 2026 the shop left its long-time address for Yeonhui-dong. The new room is larger, but the same filing logic was moved intact. Stock turns quickly; check before you go.","서울 서대문구 연희로 122, 302호 · 122, Yeonhui-ro, Seodaemun-gu, Seoul","Tel 070-8821-8990 / Instagram @your_mind_com"
"Chaekbang Moomyeong","책방 무명","★★","통영 근교, 한국 · Near Tongyeong, Korea","통영 근교 바닷가 창고를 개조한 이 서점은 원래 건어물 창고였다. 별도의 입고 절차 없이 서가를 채우는데, 방문객이 방명록에 문장을 하나 남기면 그 문장은 이튿날 손글씨로 옮겨져 서가의 빈 칸에 꽂힌다. 필사는 은퇴한 제본공 출신인 주인이 매일 밤 혼자 맡아서 한다. 문장이 짧으면 얇은 책자로, 길면 여러 권으로 나뉘어 제본된다. 저자 이름 대신 방문 날짜만 표기하는 것이 이곳의 유일한 규칙이다. 최근에는 필사를 도울 사람을 구하지 못해, 하루 걸리던 작업이 사흘까지 늦어지는 경우도 있다. 개점 시간은 따로 정해져 있지 않고, 주인이 자리에 있을 때만 문을 연다.","This shop occupies a former dried-fish warehouse on the coast near Tongyeong. There is no ordinary intake. A visitor leaves one sentence in the guestbook; by the next day it has been copied by hand and filed in an empty slot. The owner, a retired binder, does the copying alone each night. Short sentences become thin pamphlets; long ones are split across volumes. The only rule is that the date of the visit stands in for an author's name. Help has been hard to find, so work that once took a day can now take three. Hours are not posted. The door is open only when the owner is there.","경상남도 통영시 산양읍 해안도로 84 · 84 Haean-daero, Sanyang-eup, Tongyeong",""
"蔦屋書店","츠타야 다이칸야마 티사이트","★★★","도쿄, 일본 · Tokyo, Japan","파이낸셜타임스가 '세계에서 가장 근사한 서점' 중 하나로 꼽은 곳이 도쿄 도심에 있다. 다이칸야마 티사이트는 클라인 다이섬 건축사무소가 설계한 세 개의 건물로 이루어져 있다. 세 동은 산책로로 연결되어 있어, 방문객은 책장 사이가 아니라 건물 사이를 걸으며 구역을 이동한다. 서점이라기보다 복합 문화 공간에 가까우며, 반려동물 전용 구역과 요리 전문 서가가 나란히 배치되어 있다. 분류는 출판사나 저자가 아니라 라이프스타일 주제를 기준으로 이루어져, 요리책 옆에 식기 브랜드 카탈로그가 놓이는 경우도 흔하다. 새벽까지 영업하는 라운지가 딸려 있어, 자정이 넘은 시각에도 서가 사이를 오가는 사람을 볼 수 있다. 개점 이후 다이칸야마 지역 자체의 성격을 바꾼 시설로 자주 언급된다.","The Financial Times once listed this among the world's most beautiful bookstores. Daikanyama T-SITE is three buildings by Klein Dytham, linked by a path, so visitors move between pavilions rather than only between stacks. It behaves more like a cultural compound than a shop: a pet area sits beside a cookery bay. Books are filed by lifestyle, not publisher, so a cookbook may stand next to a tableware catalogue. A lounge stays open into the small hours. Since opening it has often been credited with changing the character of Daikanyama itself.","17-5 Sarugakucho, Shibuya-ku, Tokyo 150-0033","Tel +81 3-3770-2525 / Instagram @daikanyama.tsutaya.mag"
"誠品生活 松菸店","청핀성훠 쑹옌점","★★","타이베이, 대만 · Taipei, Taiwan","밤늦게까지 여행 일정을 소화하는 사람들 사이에서 '자정 넘어서도 갈 수 있는 서점'으로 입소문난 브랜드가 바로 誠品(청핀)이다. 1989년 대만 사업가 우칭유(吳清友)가 타이베이에서 시작한 서점 브랜드다. 지금은 대만 전역 38개 지점과 홍콩·중국·일본 등 해외 지점까지 두고 있으며, 서점과 갤러리·카페·편집숍을 한데 묶은 복합문화공간 모델을 대만에 처음 정착시킨 곳으로 평가받는다. 원조 둔난점이 1999년 세계 최초로 24시간 운영을 시작한 뒤, 誠品이라는 이름 자체가 '밤에도 열려 있는 서점'과 동의어처럼 쓰이게 됐다. 쑹옌점은 2023년 말 둔난점이 문을 닫은 뒤, 이 24시간 타이틀을 이어받은 지점이다. 둔난점보다 넓은 매장에 더 많은 도서를 갖추고 있고, 옛 담배 공장 부지를 개발한 문화 지구 안에 자리해 주변에는 갤러리와 공예 공방이 함께 있다. 심야 시간대에는 서점 직원보다 시험 준비를 하는 학생이나 근무를 마친 사람이 더 많이 눈에 띈다.","Among travellers keeping late hours, Eslite is the name that means a bookshop still open after midnight. Wu Ching-yu founded it in Taipei in 1989. It now runs dozens of branches in Taiwan and others in Hong Kong, China and Japan, and is credited with bringing the bookstore-gallery-café model to Taiwan. After the original Dunnan store began 24-hour opening in 1999, the brand itself became shorthand for a shop that does not close at night. Songyan inherited that title when Dunnan shut at the end of 2023. The floor is larger, the stock heavier, and the site sits in a former tobacco-factory district among galleries and workshops. After midnight the readers are more often students or people off shift than staff.","台北市信義區菸廠路88號 (110)","Tel +886 2-6636-5888 / Instagram @eslite_global"
"Hardcover: The Art Book Shop","하드커버: 디 아트 북 숍","★★","방콕, 태국 · Bangkok, Thailand","방콕의 대표 럭셔리 백화점 센트럴 엠바시 안에는, 쇼핑하러 온 사람들도 잘 모르고 지나치는 아트북 전문 서점이 숨어 있다. 하드커버는 2012년 문을 연 이곳으로, 내부는 백화점 매장과는 전혀 다른 방식으로 설계되었다. 서가는 낮은 조도로 유지되며, 표지가 아니라 판형을 기준으로 책을 세워 진열한다. 사진집과 그래픽 디자인 서적의 비중이 높고, 절판된 한정판이 정가보다 높은 가격에 재입고되는 경우도 있다. 매장 규모는 크지 않지만, 방콕을 방문하는 디자이너와 사진가 사이에서는 필수 경유지로 통한다. 특정 요일에만 신간이 입고되어, 재방문 계획을 세우는 손님이 많다.","Inside Central Embassy, Bangkok's flagship luxury mall, an art-book shop is easy to miss. Hardcover opened in 2012 and is lit and laid out unlike the department floor around it. Shelves stay dim; books stand by format, not by cover. Photobooks and graphic-design titles dominate, and out-of-print limited editions sometimes return above list price. The room is small, but designers and photographers treat it as a required stop. New stock arrives on set days, so many visitors plan a second call.","Level 6, Central Embassy, 1031 Ploenchit Rd, Bangkok 10330","Tel +66 2-160-5977 / Instagram @hardcovertheartbookshop"
"Sách Lang Thang","삭랑탕","★","하노이, 베트남 · Hanoi, Vietnam","하노이 구시가의 이 가판대는 재고 목록을 따로 관리하지 않는다. 이 방식은 수십 년 전 인근 시장에서 난 화재로 여러 좌판의 재고가 뒤섞이면서 자연스럽게 굳어졌다고 전해진다. 팔리지 않은 책은 하루가 지나면 다른 골목의 비슷한 가판대로 옮겨진다는 것이 상인들 사이의 통설이다. 야간 이동은 대개 근처에서 일하는 아이들이 맡는다고 하는데, 정식으로 고용된 것은 아니고 소소한 용돈을 받는 식이다. 가격은 표지에 붙은 스티커가 아니라 그날의 흥정으로 정해진다. 우기에는 처마 밑 자리만 남고 나머지 가판대는 자연히 줄어든다. 오래 팔리지 않는 책은 결국 파지로 넘겨지는데, 어떤 책을 넘길지는 그날 좌판을 맡은 상인의 판단에 달려 있다.","This stall in Hanoi's Old Quarter keeps no inventory list. The habit is said to date from a market fire decades ago, when several pitches of stock were mixed together and never fully sorted. Unsold books, traders claim, move overnight to a similar stall on another alley. Children who work nearby usually do the carrying, paid a little, not formally hired. Price is a bargain, not a sticker. In the rains only the pitches under eaves remain. Books that never sell go for pulp; which titles go is decided by whoever minds the stall that day.","12 Phố Hàng Bồ, Hoàn Kiếm, Hà Nội",""
"Shakespeare and Company","셰익스피어 앤 컴퍼니","★★","파리, 프랑스 · Paris, France","노숙자에게도 잠자리를 내준다는 소문으로 파리 여행기마다 빠지지 않고 등장하는 서점이 있다. 셰익스피어 앤 컴퍼니는 1919년부터 파리에서 영어 서적을 취급해온 유서 깊은 곳이다. 이곳을 특별하게 만드는 것은 소장 도서가 아니라 '텀블위드'라 불리는 오랜 전통이다. 글을 쓰겠다고 찾아온 사람에게 서점은 매대 사이나 서가 뒤에 잠자리를 내주었고, 그 대가로 하루에 책 한 권을 읽고 한 페이지의 자기소개를 남기도록 했다. 지금까지 이 방식으로 머물다 간 사람은 수천 명에 이른다고 알려져 있다. 서가 곳곳에는 그들이 남긴 메모와 사진이 그대로 꽂혀 있어, 어떤 책을 꺼내면 다른 사람의 흔적이 함께 나오기도 한다. 노트르담 대성당을 마주보는 위치라는 사실은, 이 서점을 소개할 때 오히려 뒤늦게 언급되는 정보다.","Paris guides rarely omit the rumour that this shop still offers a bed to people with nowhere to sleep. Shakespeare and Company has sold English books in the city since 1919. What marks it is not the stock so much as the Tumbleweed custom: anyone who arrives to write may sleep between the tables or behind the shelves, in return for a book a day and a page of autobiography. Thousands are said to have stayed this way. Notes and photographs remain in the stacks, so a title sometimes comes out with someone else's trace. That the shop faces Notre-Dame is usually mentioned last.","37 Rue de la Bûcherie, 75005 Paris","Tel +33 1 43 25 40 93 / Instagram @shakespeareandcoparis"
"Les Bouquinistes","부키니스트","★★","파리, 프랑스 · Paris, France","파리 센 강변을 걷다 보면 누구나 한 번쯤 지나치게 되는 초록색 헌책 가판대, 그 정체가 바로 부키니스트다. 개별 상인이 각자의 구역을 대대로 물려받아 운영하며, 판매대의 정확한 개수와 위치는 파리시가 별도로 관리한다. 2018년에는 이 가판대 전체가 유네스코 인류무형문화유산으로 지정되었다. 낮에는 관광객을 위한 엽서와 판화가 많이 보이지만, 해가 지고 상인들이 진짜 서적 상자를 여는 시간대가 따로 있다는 이야기가 돈다. 강변 개발 계획이 발표될 때마다 이 가판대의 존속 여부가 함께 논의된다. 지금도 몇몇 자리는 몇 대에 걸쳐 같은 가족이 지키고 있다.","Walk the Seine and you pass the green second-hand stalls known as the bouquinistes. Each trader inherits a pitch; the city keeps count of how many boxes sit where. In 2018 the whole line was inscribed by UNESCO. By day postcards and prints for tourists dominate; after dusk, some say, the real book crates come out. Every new plan for the quays reopens the question of whether the stalls will stay. A few pitches have been in the same family for generations.","Quai de Montebello ~ Quai Voltaire, 75005 Paris",""
"Boekhandel Dominicanen","보크한델 도미니카넌","★★★","마스트리흐트, 네덜란드 · Maastricht, Netherlands","13세기에 지어진 고딕 성당 안에서 책을 고르는 경험은 흔치 않다. 보크한델 도미니카넌은 도미니크 수도회 성당을 그대로 개조한 서점이다. 높은 천장과 스테인드글라스는 그대로 남아 있고, 서가는 옛 신도석 자리를 따라 배치되었다. 제단이 있던 자리에는 지금 카페 테이블이 놓여 있다. 성당 시절의 벽화 일부가 서가 위쪽에 여전히 남아 있어, 책을 고르다 고개를 들면 낡은 종교화와 마주치게 된다. 건물의 원래 용도를 알지 못한 채 들어온 사람은 대개 몇 분간 서가보다 천장을 먼저 살핀다. 개조 공사 당시 지하에서 오래된 무덤이 발견되어, 그 구역은 지금도 출입이 제한되어 있다.","It is uncommon to choose a book inside a thirteenth-century Gothic church. Boekhandel Dominicanen occupies a former Dominican church. The high vaults and stained glass remain; the shelves follow the old pew lines. Café tables stand where the altar was. Fragments of church painting still sit above the stacks, so a reader looking up meets a worn religious scene. People who do not know the building's first use usually study the ceiling before the books. Graves were found below during conversion; that area is still closed.","Dominicanerkerkstraat 1, 6211 CZ Maastricht","Tel +31 43 304 0130 / Instagram @boekhandel_dominicanen"
"Tablette","타블레트","★★","브로크, 스위스 · Broc, Switzerland","몽트뢰에서 그뤼예르를 지나 브로크까지 가는 초콜릿 열차의 종점 근처에 있는 이 서점은, 서가 전체를 초콜릿과 카카오에 관한 책으로 채운다. 레시피북 옆에 포장 디자인 화보가 있고, 어린이용 공장 견학 팸플릿과 두꺼운 제과 역사서가 한 칸을 쓴다. 계산대에서는 스위스산 초콜릿만 판다. 수입 브랜드는 들여놓지 않으며, 손님이 책과 판초콜릿을 같이 고르는 모습이 자연스럽게 자리를 잡았다. 열차가 들어오는 오후에는 가게 안이 잠깐 붐비고, 막차가 떠나면 주인이 문을 잠근다. 창밖으로 공장 굴뚝과 선로가 함께 보인다.","Near the end of the chocolate train from Montreux through Gruyères to Broc, this shop fills every shelf with books on chocolate and cacao. Recipe books sit beside packaging albums; a children's factory pamphlet shares a bay with a thick history of confectionery. Only Swiss chocolate is sold at the counter. Imports are not stocked, and buying a bar with a book has become the usual gesture. Afternoons swell when a train arrives; after the last departure the owner locks the door. Tracks and a factory chimney show through the window.","Rue de Montsalvens 6, 1636 Broc",""
